node_1|node_2|edge|chunk_id
troubleshooting|claude|Troubleshooting is a section or process dedicated to solving problems encountered while using Claude.|375a95e7f81e40c78255e64f99300470
claude|amazon bedrock|Claude is available on a platform or service known as Amazon Bedrock.|375a95e7f81e40c78255e64f99300470
claude|google sheets|Claude can be integrated with or used within Google Sheets.|375a95e7f81e40c78255e64f99300470
claude|google sheets|Claude can be used in Google Sheets through the Claude for Sheets extension.|9c9dd6fcd44c418fba0a1dc6527d1705
claude for sheets extension|integration|The extension enables seamless integration between Claude and Google Sheets.|9c9dd6fcd44c418fba0a1dc6527d1705
claude api key|claude for sheets extension|A Claude API key is required to use the Claude for Sheets extension.|9c9dd6fcd44c418fba0a1dc6527d1705
install|claude for sheets extension|To use Claude for Sheets, the user must install the extension.|9c9dd6fcd44c418fba0a1dc6527d1705
enable|claude for sheets|The user must enable Claude for Sheets for each new workbook created.|9c9dd6fcd44c418fba0a1dc6527d1705
connect your api key|claude for sheets usage|The user needs to connect their API key to use Claude for Sheets in their documents.|9c9dd6fcd44c418fba0a1dc6527d1705
green 'verified' checkmark|claude activation|The presence of the green 'verified' checkmark indicates that Claude will be activated.|deb316d27814456998332e905ec9b707
claude|google sheet|Claude is integrated and operates within Google Sheets.|deb316d27814456998332e905ec9b707
claude for sheets extension|permissions|The extension requests specific permissions to function properly.|deb316d27814456998332e905ec9b707
permissions|an external service connection|Permissions are required to connect to the Anthropic API.|deb316d27814456998332e905ec9b707
permissions|application run|Permissions allow the application to run without user presence, particularly for cell recalculations.|deb316d27814456998332e905ec9b707
permissions|google sheets spreadsheets access|Permissions are needed to see, edit, create, and delete all Google Sheets spreadsheets.|deb316d27814456998332e905ec9b707
batch cell updates|google sheets spreadsheets access|Batch cell updates, for recalculating `#ERROR!` cells, require permissions to edit Google Sheets.|deb316d27814456998332e905ec9b707
api concurrency limits|deferred updates|When API concurrency limits are reached, updates can be deferred, needing batch cell updates.|deb316d27814456998332e905ec9b707
cell recalculation|manual intervention|Cells must be manually recalculated by selecting recalculate options within the extension menu.|deb316d27814456998332e905ec9b707
claude|claude for sheets|Claude operates as a function within the Claude for Sheets extension.|deb316d27814456998332e905ec9b707
claude for sheets|claude functions|is a feature of Claude for Sheets that enables calling Claude through spreadsheet functions.|520d5f67913a4d3ab2c0c087ad595948
claude() function|plaintext prompt|requires a plaintext prompt without additional formatting to operate.|520d5f67913a4d3ab2c0c087ad595948
claude() function|automatic wrapping|automatically wraps the user's prompt in required formatting for Claude.|520d5f67913a4d3ab2c0c087ad595948
slackbot claude interface|claude() function|operates identically to the CLAUDE() function for Sheets in 'Chat' mode.|520d5f67913a4d3ab2c0c087ad595948
claudefree() function|manual sandwiching|requires the user to manually place the prompt between formatting lines for Claude.|520d5f67913a4d3ab2c0c087ad595948
claudefree() function|raw api claude interface|operates identically to the raw API Claude interface in 'Edit Chat' mode.|520d5f67913a4d3ab2c0c087ad595948
introduction to prompt design|claudefree() function|provides more information on the special 'Human:'/'Assistant:' formatting used in CLAUDEFREE().|520d5f67913a4d3ab2c0c087ad595948
making new lines in a cell|cmd + enter|is the keyboard shortcut for Mac users to make new lines in a spreadsheet cell.|520d5f67913a4d3ab2c0c087ad595948
making new lines in a cell|alt + enter|is the keyboard shortcut for Windows users to make new lines in a spreadsheet cell.|520d5f67913a4d3ab2c0c087ad595948
optional function parameters|claudefree() function|can be used with CLAUDEFREE() function to specify additional settings.|520d5f67913a4d3ab2c0c087ad595948
claudefree()|function|CLAUDEFREE() is an example of a function referenced in the context.|1aca9d9be995449c9a507e838d5be235
function parameters|api parameters|Function parameters are equivalent to API parameters in the context of setting up a CLAUDE function call.|1aca9d9be995449c9a507e838d5be235
parameter name|parameter value|Each function parameter is identified by a 'parameter name' and a respective 'parameter value'.|1aca9d9be995449c9a507e838d5be235
claude function|parameters|A CLAUDE function can have multiple parameters defined for its execution.|1aca9d9be995449c9a507e838d5be235
max_tokens_to_sample|token count|'max_tokens_to_sample' is a parameter specifying the total number of tokens a model outputs.|1aca9d9be995449c9a507e838d5be235
max_tokens_to_sample|1|A value of 1 for 'max_tokens_to_sample' is suitable for yes/no or multiple choice answers.|1aca9d9be995449c9a507e838d5be235
max_tokens_to_sample|200|A value of 200 for 'max_tokens_to_sample' is recommended for long answers.|1aca9d9be995449c9a507e838d5be235
parameter|temperature|'Temperature' is a parameter that controls randomness in results.|1aca9d9be995449c9a507e838d5be235
temperature|0|A temperature close to 0 is used for tasks requiring less randomness like multiple choice or analytical tasks.|1aca9d9be995449c9a507e838d5be235
temperature|1|A temperature set to 1 is ideal for tasks requiring high creativity like idea generation.|1aca9d9be995449c9a507e838d5be235
claude for sheets|guides & examples|Claude for Sheets provides guides and examples for users to learn prompt engineering techniques.|1aca9d9be995449c9a507e838d5be235
prompt engineering tutorial|claude for sheets add-on|The Prompt Engineering Tutorial utilizes the Claude for Sheets add-on for teaching prompt engineering.|1aca9d9be995449c9a507e838d5be235
claude for sheets|api key|An API key is required to interact with Claude for Sheets.|dadbd94029134b87880d58953ea24ed5
api key|tutorial|An API key is necessary for accessing the interactive tutorial for Claude for Sheets.|dadbd94029134b87880d58953ea24ed5
tutorial|static tutorial answer key|Users without an API key are directed to the static tutorial answer key.|dadbd94029134b87880d58953ea24ed5
claude for sheets prompting examples workbench|claude-powered workbooks|The workbench provides example prompts and example Claude-powered workbooks.|dadbd94029134b87880d58953ea24ed5
claude for sheets|enterprise use-case examples|Claude for Sheets provides enterprise use-case examples for users.|dadbd94029134b87880d58953ea24ed5
claude for sheets|workbook template|Users can make a copy of the Claude for Sheets workbook template to start their own work.|dadbd94029134b87880d58953ea24ed5
claude for sheets|guides & examples|Guides and examples are provided for how to use Claude for Sheets.|dadbd94029134b87880d58953ea24ed5
installing claude for sheets|permissions|Permissions are part of the process for Installing Claude for Sheets.|dadbd94029134b87880d58953ea24ed5
claude for sheets|claude functions|Claude functions are features of Claude for Sheets.|dadbd94029134b87880d58953ea24ed5
claude functions|optional function parameters|Claude functions may have Optional function parameters for customization.|dadbd94029134b87880d58953ea24ed5
anthropic|foundation models|is the developer or organization associated with Foundation models|2eabdd8849b24dfda4cc6028fe93d785
claude|getting access|is an action related to Claude for users to gain system entry|2eabdd8849b24dfda4cc6028fe93d785
claude|prompt engineering resources|is a subject or field associated with guides regarding Claude|2eabdd8849b24dfda4cc6028fe93d785
claude|google sheets|is integrated or compatible with Google Sheets|2eabdd8849b24dfda4cc6028fe93d785
prompt design|optimizing prompt|is a process or part of Prompt Design|2eabdd8849b24dfda4cc6028fe93d785
useful hacks|prevent hallucinations|is a category where methods like allowing Claude to say 'I don't know' belong to prevent undesired outputs|2eabdd8849b24dfda4cc6028fe93d785
use cases|text processing|is a category under which Text Processing is a type of task Claude can perform|2eabdd8849b24dfda4cc6028fe93d785
troubleshooting|checklist|is a part of the Troubleshooting process|2eabdd8849b24dfda4cc6028fe93d785
amazon bedrock|claude|is a platform on which Claude operates|2eabdd8849b24dfda4cc6028fe93d785
moon (dark mode)|sun (light mode)|are two different themes or modes of the interface for user preference|2eabdd8849b24dfda4cc6028fe93d785
claude|amazon bedrock|Claude is an entity operating on Amazon Bedrock.|766bcf594aa4432794bd7a19739ea37a
claude|hallucinating|Claude is experiencing hallucinations.|766bcf594aa4432794bd7a19739ea37a
claude|response|Claude generates responses.|766bcf594aa4432794bd7a19739ea37a
claude|xml tags|Claude utilizes XML tags to structure thinking and answer responses.|766bcf594aa4432794bd7a19739ea37a
xml tags|processing|The XML tags are used to automatically process Claude's response.|766bcf594aa4432794bd7a19739ea37a
claude|sequence prediction|Claude operates by predicting sequences.|766bcf594aa4432794bd7a19739ea37a
claude|faq document|Claude uses quotes from an FAQ document to reason through problems.|766bcf594aa4432794bd7a19739ea37a
faq document|user's question|The FAQ document contains content relevant to the user's question, which Claude references.|766bcf594aa4432794bd7a19739ea37a
quotes|reasoning section|Quotes are extracted by Claude and written down as part of the reasoning section.|766bcf594aa4432794bd7a19739ea37a
anthropic|foundation models|Anthropic produces Foundation models.|9d4f94452ed04f1ea7d525e85f1ab90f
claude|prompt engineering resources|Claude is associated with prompt engineering resources provided by Anthropic.|9d4f94452ed04f1ea7d525e85f1ab90f
claude|google sheets|Claude can be integrated with Google Sheets.|9d4f94452ed04f1ea7d525e85f1ab90f
claude|gpt prompts|Claude can be configured with GPT prompts.|9d4f94452ed04f1ea7d525e85f1ab90f
content generation|use cases|Content Generation is one of the use cases for Claude.|9d4f94452ed04f1ea7d525e85f1ab90f
text processing|use cases|Text Processing is one of the use cases for Claude.|9d4f94452ed04f1ea7d525e85f1ab90f
claude|amazon bedrock|Claude is available on Amazon Bedrock.|9d4f94452ed04f1ea7d525e85f1ab90f
human: and assistant:|formatting|Human: and Assistant: is a formatting style used in Claude's troubleshooting.|9d4f94452ed04f1ea7d525e85f1ab90f
claude|hallucinations|Claude can experience errors referred to as 'hallucinations'.|9d4f94452ed04f1ea7d525e85f1ab90f
introduction to prompt design|prompt design|Introduction to prompt design is a section under Prompt Design.|9d4f94452ed04f1ea7d525e85f1ab90f
constructing a prompt|prompt design|Constructing a prompt is a topic covered in the Prompt Design section.|9d4f94452ed04f1ea7d525e85f1ab90f
optimizing your prompt|prompt design|Optimizing your prompt is a topic covered in the Prompt Design section.|9d4f94452ed04f1ea7d525e85f1ab90f
glossary|guides|Glossary is part of the guides provided for Claude.|9d4f94452ed04f1ea7d525e85f1ab90f
claude|amazon bedrock|is on, implying Claude operates on the Amazon Bedrock platform.|3a3f060db7a94e8291b289708b4d65f9
claude|hallucinating|is described as, indicating a state or condition Claude is experiencing.|3a3f060db7a94e8291b289708b4d65f9
claude|contractor|should be spoken to like, which suggests the manner in which users are advised to interact with Claude.|3a3f060db7a94e8291b289708b4d65f9
prompt|bad prompt|has a category, distinguishing between effective and ineffective types of prompts for Claude.|3a3f060db7a94e8291b289708b4d65f9
prompt|good prompt|has a category, distinguishing between effective and ineffective types of prompts for Claude.|3a3f060db7a94e8291b289708b4d65f9
claude|slack|can be interacted through, indicating one of the platforms through which Claude can communicate.|3a3f060db7a94e8291b289708b4d65f9
claude|web interface|can be interacted through, indicating one of the platforms through which Claude can communicate.|3a3f060db7a94e8291b289708b4d65f9
claude|threads|remembers entire, which suggests Claude is capable of recalling the content of conversations within a single thread.|3a3f060db7a94e8291b289708b4d65f9
claude|memory|has its memory cleared between threads, which suggests that Claude does not retain information after a conversation thread ends.|3a3f060db7a94e8291b289708b4d65f9
claude|role|plays a, where Claude is likened to a helpful assistant as part of its functionality.|3a3f060db7a94e8291b289708b4d65f9
claude|abilities|incorrectly reports its own, which suggests Claude may overstate what it can do.|3a3f060db7a94e8291b289708b4d65f9
claude|updating its memory|may claim to be, when in reality it does not have the capability to remember prior conversations.|3a3f060db7a94e8291b289708b4d65f9
claude|mistakes|Claude often makes mistakes with complicated arithmetic, reasoning, and basic tasks.|693e56dd4eb54b2a88db24aaca98dc0c
claude|instructions|Claude makes mistakes when given a long list of instructions to follow.|693e56dd4eb54b2a88db24aaca98dc0c
claude|hallucinations|Claude sometimes hallucinates or makes up information.|693e56dd4eb54b2a88db24aaca98dc0c
claude|memory|Claude fills in information from its memory when presented with long documents.|693e56dd4eb54b2a88db24aaca98dc0c
claude|internet knowledge|Claude has read a lot on the internet but does not have current internet access.|693e56dd4eb54b2a88db24aaca98dc0c
claude|outdated information|Claude was trained on data that can be up to 2 years out of date.|693e56dd4eb54b2a88db24aaca98dc0c
claude|knowledge of current date|Claude does not know today's date or current events.|693e56dd4eb54b2a88db24aaca98dc0c
claude|real-world actions|Claude cannot take real-world actions, but can suggest actions to take.|693e56dd4eb54b2a88db24aaca98dc0c
claude|look up information|Claude cannot look things up, but can suggest what to look up.|693e56dd4eb54b2a88db24aaca98dc0c
claude|contractor approach|Users should talk to Claude like a contractor.|693e56dd4eb54b2a88db24aaca98dc0c
claude|thread memory|Claude 'remembers' entire threads of conversations or texts.|693e56dd4eb54b2a88db24aaca98dc0c
claude|limitations|Users should be aware of Claude's limitations regarding tasks and information.|693e56dd4eb54b2a88db24aaca98dc0c
anthropic|foundation models|Anthropic is associated with Foundation models as indicated by their mention together in the context.|d3a356dd39fc4949ab052dc249ce422a
anthropic|prompt engineering resources|Anthropic provides prompt engineering resources, as indicated in the introduction.|d3a356dd39fc4949ab052dc249ce422a
claude|prompt engineering|Claude is likely a tool or a model that is used within the context of prompt engineering.|d3a356dd39fc4949ab052dc249ce422a
claude|gpt prompts|Claude is likely configurable with GPT prompts.|d3a356dd39fc4949ab052dc249ce422a
claude|google sheets|Claude has functionality related to Google Sheets.|d3a356dd39fc4949ab052dc249ce422a
prompt design|constructing a prompt|Prompt design includes the subtask of constructing a prompt.|d3a356dd39fc4949ab052dc249ce422a
prompt design|optimizing your prompt|Prompt design includes the subtask of optimizing your prompt.|d3a356dd39fc4949ab052dc249ce422a
useful hacks|prevent hallucinations|Useful Hacks section contains strategies such as letting Claude say 'I don't know' to prevent hallucinations.|d3a356dd39fc4949ab052dc249ce422a
use cases|content generation|Content Generation is listed as one of the use cases for the prompt engineering resources.|d3a356dd39fc4949ab052dc249ce422a
use cases|multiple choice and classification|Multiple Choice and Classification are listed as use cases for the prompt engineering resources.|d3a356dd39fc4949ab052dc249ce422a
use cases|text processing|Text Processing is listed as a use case for the prompt engineering resources.|d3a356dd39fc4949ab052dc249ce422a
troubleshooting|human: and assistant: formatting|The Troubleshooting section addresses the Human: and Assistant: formatting.|d3a356dd39fc4949ab052dc249ce422a
troubleshooting|claude hallucinating|Troubleshooting includes dealing with situations where Claude is hallucinating.|d3a356dd39fc4949ab052dc249ce422a
claude|amazon bedrock|Claude is available on Amazon Bedrock platform.|d3a356dd39fc4949ab052dc249ce422a
claude|hallucination|Claude is experiencing a hallucination.|93601ef06a1741ab8b43fec6217acec1
guide|anthropic's prompt engineering resources|The guide is specific to Anthropic's prompt engineering resources.|93601ef06a1741ab8b43fec6217acec1
claude|prompt engineering|Claude is used in the context of prompt engineering.|93601ef06a1741ab8b43fec6217acec1
materials|prompt engineering|Materials cover core concepts, best practices, and examples related to prompt engineering.|93601ef06a1741ab8b43fec6217acec1
debugging checklists|prompt engineering|Debugging Checklists are used as educational resources in prompt engineering.|93601ef06a1741ab8b43fec6217acec1
interactive materials|prompt engineering|Interactive Materials are used as educational resources in prompt engineering.|93601ef06a1741ab8b43fec6217acec1
prompt engineering tutorial|claude|The tutorial teaches techniques for prompting with Claude.|93601ef06a1741ab8b43fec6217acec1
prompt engineering tutorial|interactive prompting tutorial|The Interactive Prompting Tutorial is a version of the Prompt Engineering Tutorial.|93601ef06a1741ab8b43fec6217acec1
interactive prompting tutorial|api key|To use the interactive version of the prompt engineering tutorial, an API key is required.|93601ef06a1741ab8b43fec6217acec1
api key|google drive|API Key should be added to a copy saved on Google Drive to use Claude in the interactive tutorial.|93601ef06a1741ab8b43fec6217acec1
api key|claude for sheets extension|Claude for Sheets extension is used to add the API Key for using Claude.|93601ef06a1741ab8b43fec6217acec1
interactive prompting tutorial|tutorial exercises|The interactive tutorial consists of lessons and exercises on prompting techniques.|93601ef06a1741ab8b43fec6217acec1
prompt engineering interactive tutorial answer key|static text|The answer key contains all answers as static text with no dynamic interactions.|7b1b4695a13f4e2982902123882f274b
prompt engineering interactive tutorial answer key|claude|The document does not make calls to Claude; it's intended for those working with Claude.|7b1b4695a13f4e2982902123882f274b
depth prompt engineering|additional resources|Depth Prompt Engineering provides additional resources on prompt engineering with Claude.|7b1b4695a13f4e2982902123882f274b
claude prompt engineering techniques presentation|~100 slides|The presentation features around 100 slides dedicated to prompt engineering with Claude.|7b1b4695a13f4e2982902123882f274b
claude prompt engineering techniques presentation|beginning to advanced techniques|These slides cover a range of techniques from beginning to advanced levels for prompt engineering with Claude.|7b1b4695a13f4e2982902123882f274b
claude prompt engineering techniques presentation|troubleshooting techniques|The presentation includes techniques for troubleshooting issues like hallucinations.|7b1b4695a13f4e2982902123882f274b
claude prompt engineering techniques presentation|prompt engineering examples|The presentation includes direct examples of prompt engineering in action.|7b1b4695a13f4e2982902123882f274b
bedrock users|bedrock prompt engineering deck|Bedrock users are recommended to check out the Bedrock-specific prompt engineering resources.|7b1b4695a13f4e2982902123882f274b
prompt engineering documentation|user guide|The documentation serves as a user guide full of tips and tricks related to Claude.|7b1b4695a13f4e2982902123882f274b
prompt engineering documentation|troubleshooting|The documentation provides information about troubleshooting Claude.|7b1b4695a13f4e2982902123882f274b
prompt engineering documentation|prompt formatting|The documentation includes tips on prompt formatting.|7b1b4695a13f4e2982902123882f274b
prompt engineering documentation|claude|The documentation offers ways to access and communicate with Claude.|7b1b4695a13f4e2982902123882f274b
configuring gpt prompts for claude|guide|There is a guide on how to tailor prompts initially designed for GPT models to work better with Claude.|7b1b4695a13f4e2982902123882f274b
introduction to prompt design|prompt design|There is an introduction section that covers the basics of prompt design.|7b1b4695a13f4e2982902123882f274b
prompt design|gpt models|Prompt Design refers to the strategies used for effectively creating prompts for GPT models like Claude.|e2ba352252bd41608d4fea99cfd5d2ab
prompt design|information|Prompt Design uses a set of information that can include in-line examples and illustrative concepts.|e2ba352252bd41608d4fea99cfd5d2ab
prompt construction|techniques|Prompt construction involves intermediate techniques exemplified by in-line examples.|e2ba352252bd41608d4fea99cfd5d2ab
prompt optimization|process|Prompt optimization is a process for iterating and evaluating prompts to improve performance.|e2ba352252bd41608d4fea99cfd5d2ab
examples & code|claude|Examples & Code provides practical instances and templates of prompts to use with Claude.|e2ba352252bd41608d4fea99cfd5d2ab
example prompts|workbook|The workbook contains a collection of example prompts and templates for various tasks.|e2ba352252bd41608d4fea99cfd5d2ab
example prompts|use-cases|Example Prompts are designed for specific use-cases, with one use-case per tab in the workbook.|e2ba352252bd41608d4fea99cfd5d2ab
prompt engineering techniques|example prompts|Prompt Engineering Techniques are the underlying strategies applied to the creation of Example Prompts.|e2ba352252bd41608d4fea99cfd5d2ab
simple q&a|information extraction|Simple Q&A and Information extraction are two related tasks that example prompts may cover.|e2ba352252bd41608d4fea99cfd5d2ab
removing pii|content generation|Removing PII and Content generation are tasks that address different aspects of data handling in prompts.|e2ba352252bd41608d4fea99cfd5d2ab
multiple choice classification|dialogue agents and roleplay|Multiple choice classification and Dialogue agents and roleplay are types of tasks for which prompts can be tailored.|e2ba352252bd41608d4fea99cfd5d2ab
summarization|advanced q&a|Summarization and Advanced Q&A on long documents are both tasks that may require complex prompt engineering.|e2ba352252bd41608d4fea99cfd5d2ab
function calling|tool use|Function calling and Tool use are tasks that involve interaction with software and might be automated with prompts.|e2ba352252bd41608d4fea99cfd5d2ab
prompt chains|techniques|Prompt chains might be a technique employed in intermediate or advanced prompt construction methods.|e2ba352252bd41608d4fea99cfd5d2ab
dialogue agents|roleplay|Dialogue agents may be utilized in roleplay scenarios|113c6147033a456396217a114ae86e43
summarization|long documents|Summarization is a process applied to long documents|113c6147033a456396217a114ae86e43
advanced q&a|long documents|Advanced Q&A is conducted on long documents|113c6147033a456396217a114ae86e43
function calling|tool use|Function calling is associated with the use of tools|113c6147033a456396217a114ae86e43
prompt chains|interactive version|Prompt chains may be featured in an interactive version of a workbook|113c6147033a456396217a114ae86e43
interactive version|claude for sheets add-on|The interactive version requires the Claude for Sheets add-on|113c6147033a456396217a114ae86e43
harmlessness screens|prompt injections|Harmlessness screens are used to catch prompt injections|113c6147033a456396217a114ae86e43
harmlessness screens|prompt misuse|Harmlessness screens are used to prevent prompt misuse|113c6147033a456396217a114ae86e43
claude|resilience|Claude is described as resilient to prompt injections and bad user behavior|113c6147033a456396217a114ae86e43
example code & demos|prompt engineering cookbook|Example Code & Demos section includes the Prompt Engineering Cookbook|113c6147033a456396217a114ae86e43
prompt engineering cookbook|jupyter notebooks|The Prompt Engineering Cookbook contains recipes in the form of Jupyter notebooks|113c6147033a456396217a114ae86e43
retrieval augmented generation (rag) demo|anthropic python sdk|The lightweight RAG Demo uses the Anthropic Python SDK|113c6147033a456396217a114ae86e43
rag demo|claude's search and retrieval capabilities|RAG Demo is used to experiment with Claude's Search and Retrieval capabilities|113c6147033a456396217a114ae86e43
retrieval capabilities|knowledge bases|Retrieval capabilities involve searching through various knowledge bases|113c6147033a456396217a114ae86e43
knowledge bases|elasticsearch|Knowledge bases include Elasticsearch|113c6147033a456396217a114ae86e43
knowledge bases|vector databases|Knowledge bases include vector databases|113c6147033a456396217a114ae86e43
knowledge bases|web search|Knowledge bases include web search|113c6147033a456396217a114ae86e43
knowledge bases|wikipedia|Knowledge bases include Wikipedia|113c6147033a456396217a114ae86e43
function calling|tool use repo|Function Calling is related to the Tool Use Repository|113c6147033a456396217a114ae86e43
tool use demo|anthropic models|The Tool Use Demo is a lightweight demonstration for using tools or function calling with Anthropic models.|de8bf5a77caf4377b956e66484855577
anthropic sdk|python|Anthropic provides a Software Development Kit (SDK) for Python.|de8bf5a77caf4377b956e66484855577
anthropic sdk|typescript|Anthropic provides a Software Development Kit (SDK) for Typescript.|de8bf5a77caf4377b956e66484855577
anthropic bedrock sdk|python|Anthropic Bedrock has its own Python SDK.|de8bf5a77caf4377b956e66484855577
anthropic bedrock sdk|typescript|Anthropic Bedrock has its own Typescript SDK.|de8bf5a77caf4377b956e66484855577
claude for sheets|google sheets|Claude for Sheets is a tool that allows users to call Claude within Google Sheets using an API key.|de8bf5a77caf4377b956e66484855577
claude for sheets|api key|An API key is required to use Claude for Sheets in Google Sheets.|de8bf5a77caf4377b956e66484855577
claude for sheets|guide|There is a guide available for users to learn how to use Claude for Google Sheets.|de8bf5a77caf4377b956e66484855577
template workbook|prompt engineering|The Template Workbook provides basic prompt engineering and testing templates.|de8bf5a77caf4377b956e66484855577
prompt engineering|single-input testing|Prompt Engineering in the Template Workbook covers single-input testing.|de8bf5a77caf4377b956e66484855577
prompt engineering|multi-input testing|Prompt Engineering in the Template Workbook covers multi-input testing.|de8bf5a77caf4377b956e66484855577
prompt engineering|single-document q&a|Prompt Engineering in the Template Workbook includes single-document Q&A templates.|de8bf5a77caf4377b956e66484855577
prompt engineering support|anthropic team|Users can get prompt engineering support from the Anthropic team.|de8bf5a77caf4377b956e66484855577
prompt engineering support checklist|guide|The Prompt Engineering Support Checklist acts as a guide for users to get the most out of prompt engineering support sessions.|de8bf5a77caf4377b956e66484855577
documentation|updated|The documentation or resources were updated 7 days ago.|de8bf5a77caf4377b956e66484855577
getting started|tutorial|Getting Started is commonly the initial phase or introduction in a tutorial.|b3e2f5489c024eb4aeb1f41beff1558d
prompt engineering|tutorial|Prompt Engineering is a subject for which tutorials are provided.|b3e2f5489c024eb4aeb1f41beff1558d
in-depth prompt engineering|prompt engineering|In-Depth Prompt Engineering is a detailed or advanced section of Prompt Engineering.|b3e2f5489c024eb4aeb1f41beff1558d
claude prompt engineering techniques presentation|presentation|The Claude Prompt Engineering Techniques Presentation is a specific type of content presenting information about prompt engineering.|b3e2f5489c024eb4aeb1f41beff1558d
prompt engineering documentation|documentation|Prompt Engineering Documentation consists of manuals, guides, or official materials for reference.|b3e2f5489c024eb4aeb1f41beff1558d
examples & code|example prompts & templates|Example Prompts & Templates are types of content within the broader category of Examples & Code.|b3e2f5489c024eb4aeb1f41beff1558d
examples & code|example code & demos|Example Code & Demos are types of content within the broader category of Examples & Code.|b3e2f5489c024eb4aeb1f41beff1558d
sdks|general anthropic sdks|General Anthropic SDKs are a specific type of SDKs.|b3e2f5489c024eb4aeb1f41beff1558d
sdks|claude on bedrock sdks|Claude on Bedrock SDKs are specialized SDKs for working with the Claude platform.|b3e2f5489c024eb4aeb1f41beff1558d
claude for sheets|other useful resources|Claude for Sheets is considered one of the Other Useful Resources.|b3e2f5489c024eb4aeb1f41beff1558d
prompt engineering support checklist|support checklist|The Prompt Engineering Support Checklist is a resource to assist with prompt engineering tasks.|b3e2f5489c024eb4aeb1f41beff1558d
anthropic|foundation models|Anthropic is an organization related to foundation models|bb591a936fa7465a9466c53c97c6e5d2
guides|api reference|Guides and API Reference are types of documentation provided by Anthropic|bb591a936fa7465a9466c53c97c6e5d2
claude|prompt engineering resources|Claude is associated with prompt engineering resources as a tool|bb591a936fa7465a9466c53c97c6e5d2
claude|google sheets|Claude can be integrated with Google Sheets|bb591a936fa7465a9466c53c97c6e5d2
glossary|prompt design|Glossary may contain definitions related to prompt design|bb591a936fa7465a9466c53c97c6e5d2
useful hacks|prevent hallucinations|Useful Hacks includes strategies such as allowing Claude to say 'I don't know' to prevent hallucinations|bb591a936fa7465a9466c53c97c6e5d2
content generation|multiple choice and classification|Content Generation and Multiple Choice and Classification are two use cases for Claude|bb591a936fa7465a9466c53c97c6e5d2
text processing|text analysis|Text Processing and Text Analysis are categorised under Claude's use cases|bb591a936fa7465a9466c53c97c6e5d2
roleplay dialogue|content moderation|Roleplay Dialogue and Content Moderation are examples of activities that can be assisted by Claude|bb591a936fa7465a9466c53c97c6e5d2
troubleshooting|human: and assistant: formatting|Troubleshooting includes issues like 'Human: and Assistant: formatting' errors|bb591a936fa7465a9466c53c97c6e5d2
claude|amazon bedrock|Claude is available on Amazon Bedrock|bb591a936fa7465a9466c53c97c6e5d2
dark mode|light mode|The user interface offers Dark Mode and Light Mode viewing options|bb591a936fa7465a9466c53c97c6e5d2
claude|amazon bedrock|Claude is associated with Amazon Bedrock|263a840efd5e4e71873c18c64be8b290
claude|content generation|Claude can generate usable content|263a840efd5e4e71873c18c64be8b290
claude|suggest edits|This is a feature or action related to Claude|263a840efd5e4e71873c18c64be8b290
claude|simple prompts|Claude can generate content from simple prompts|263a840efd5e4e71873c18c64be8b290
claude|precise instructions|Claude can operate based on precise instructions|263a840efd5e4e71873c18c64be8b290
claude|specific style|Claude can write in a specific style|263a840efd5e4e71873c18c64be8b290
claude|particular audience|Claude can generate content for a particular audience|263a840efd5e4e71873c18c64be8b290
claude|detailed|Claude can be asked to be very detailed|263a840efd5e4e71873c18c64be8b290
claude|concise|Claude can be asked to be more concise|263a840efd5e4e71873c18c64be8b290
claude|approximate number|Claude can generate an approximate number of words, paragraphs or list items|263a840efd5e4e71873c18c64be8b290
claude|character count requests|Claude is not so good at complying with character count requests|263a840efd5e4e71873c18c64be8b290
claude|focus on specific things|Claude can focus on specific things about a topic|263a840efd5e4e71873c18c64be8b290
rewriting text|existing text|Rewriting text refers to Claude rewriting existing text in a particular style|263a840efd5e4e71873c18c64be8b290
rewriting text prompt|instructions|Rewriting Text Prompt includes instructions for rewriting|263a840efd5e4e71873c18c64be8b290
rewriting text prompt|paragraph|Rewriting Text Prompt includes a paragraph that needs to be rewritten|263a840efd5e4e71873c18c64be8b290
rewrite tags|rewriting text prompt|Rewrite tags are used to enclose the rewritten text in the Rewriting Text Prompt|263a840efd5e4e71873c18c64be8b290
<rewrite> xml tag|chattiness|Starting with the <rewrite> XML tag can preempt any 'chattiness' by Claude|263a840efd5e4e71873c18c64be8b290
claude|sheets|Claude can be used within Sheets.|aa09cc2d0b6c4e13a0ddc6205d617362
substitute() function|sheets|The SUBSTITUTE() function is a feature used in Sheets.|aa09cc2d0b6c4e13a0ddc6205d617362
claude|substitute() function|Claude in Sheets can utilize the SUBSTITUTE() function to replace template placeholders with inputs.|aa09cc2d0b6c4e13a0ddc6205d617362
{{instructions}}|template placeholder|{{INSTRUCTIONS}} is a placeholder in a template that can be substituted.|aa09cc2d0b6c4e13a0ddc6205d617362
{{paragraph}}|template placeholder|{{PARAGRAPH}} is another placeholder in a template that can be replaced with input.|aa09cc2d0b6c4e13a0ddc6205d617362
rewriting text prompt|assembled prompt|Rewriting Text Prompt is an example of an Assembled Prompt with substituted inputs.|aa09cc2d0b6c4e13a0ddc6205d617362
carl linnaeus|systema naturae|Carl Linnaeus published the Systema Naturae.|aa09cc2d0b6c4e13a0ddc6205d617362
